i,rel_acc,rel_pot
700,6.075941e-07,9.119931e-10
701,1.611536e-07,7.412461e-07
702,1.543580e-06,5.139795e-07
703,2.730756e-07,2.296350e-07
704,1.901236e-06,1.117595e-06
705,9.294577e-07,8.913055e-08
706,2.729673e-06,1.477000e-06
707,2.104944e-07,2.865488e-08
708,3.676991e-06,1.158955e-06
709,3.077306e-07,2.471263e-08
710,2.205796e-06,2.698019e-07
711,2.534742e-06,1.352940e-07
712,1.901392e-06,1.809166e-06
713,1.733727e-07,1.450689e-07
714,3.547407e-07,7.075737e-07
715,6.104109e-07,1.907129e-07
716,5.306856e-06,6.663520e-07
717,6.366201e-07,1.786711e-07
718,7.760708e-07,1.730498e-07
719,3.628590e-06,1.177556e-05
720,2.153314e-06,1.032954e-07
721,2.640998e-06,1.828352e-06
722,1.376550e-06,1.535503e-06
723,5.890810e-08,8.984670e-07
724,1.697805e-06,8.442651e-08
725,6.084419e-08,3.635153e-07
726,9.415816e-07,5.704532e-07
727,1.632854e-06,4.678376e-08
728,5.924881e-06,5.171735e-06
729,1.853543e-06,4.730655e-08
730,3.065345e-07,4.338384e-07
731,1.137783e-07,6.053259e-07
732,1.951449e-06,4.758928e-06
733,5.924838e-07,1.236292e-07
734,6.415987e-07,1.254065e-08
735,1.652981e-06,9.941295e-06
736,6.063503e-06,2.934852e-07
737,2.023022e-06,3.796411e-07
738,4.127590e-07,2.314544e-07
739,9.974911e-07,6.982176e-07
740,2.495144e-07,7.074488e-07
741,1.031256e-06,3.784169e-08
742,9.729329e-07,2.845240e-07
743,1.795912e-06,8.842586e-07
744,2.674078e-06,1.537323e-07
745,6.775946e-07,2.865560e-07
746,5.633460e-07,1.486227e-07
747,2.839148e-06,2.613816e-07
748,1.263658e-06,5.279325e-07
749,1.320649e-06,7.350615e-09
750,1.169576e-06,5.352534e-07
751,1.896122e-07,1.206201e-07
752,1.196923e-07,2.573389e-07
753,7.059845e-07,4.353822e-07
754,2.438888e-06,5.603732e-07
755,3.900082e-07,7.996698e-07
756,7.432136e-07,1.813941e-07
757,1.797949e-07,2.103214e-07
758,2.284241e-06,7.449687e-07
759,8.675445e-07,1.776663e-08
760,4.531468e-08,2.170491e-08
761,6.886802e-07,2.661464e-07
762,2.746676e-07,6.938499e-08
763,5.381747e-07,2.494261e-07
764,2.854161e-07,5.419905e-08
765,7.911795e-07,1.448524e-07
766,5.738971e-07,4.641266e-07
767,1.118384e-06,8.740926e-08
768,1.389603e-06,1.401214e-07
769,1.904694e-06,3.846595e-07
770,5.094018e-06,1.574396e-06
771,2.808662e-06,5.228655e-07
772,2.700400e-07,9.518700e-08
773,5.247134e-07,7.695236e-08
